window_id,ticker,strategy,family,config_id,profile,threshold_name,params_json,data_status,window_start,window_end,news_score,news_weight_fixed,total_return,sharpe,max_drawdown,win_rate,avg_profit,trades,profit_factor,gross_profit,gross_loss
evaluation_late_third,TSLA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_uniform_b0.50_s-0.35,uniform,strict,"{""buy_threshold"":0.5,""factor_weight"":0.28,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.29,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",frozen_verified,2026-07-09 11:35:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.002838591479315755,-3.7617535532141178,-0.002838591479315755,0.16666666666666666,-47.3098579885958,6,0.07575688526605848,23.266913822521463,307.12606175409627
evaluation_full,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.009580940875558164,-2.7328278078649983,-0.01277786132466563,0.3709677419354839,-15.453130444449469,62,0.7325771630179604,2624.5995162077234,3582.6936037635896
evaluation_early_third,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-06-29 13:40:00-04:00,0.0,0.15,-0.004667229470456169,-2.4751886144869966,-0.008270959345047735,0.4117647058823529,-27.454291002684407,17,0.5790907582409573,642.1216701339023,1108.8446171795372
evaluation_middle_third,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-29 13:45:00-04:00,2026-07-09 11:30:00-04:00,0.0,0.15,-0.0005592140624387509,-0.20491952105725011,-0.0075471019513011495,0.34782608695652173,-2.431365488864493,23,0.9559640621239306,1213.9824255142414,1269.9038317581246
evaluation_late_third,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-07-09 11:35:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.0037172076260997278,-2.485987205002558,-0.00672822180142274,0.4090909090909091,-16.89639830045266,22,0.6899823345940835,827.3101446231896,1199.0309072331481
evaluation_full,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.009792865630107728,-3.52821880592621,-0.013861363035101881,0.38235294117647056,-28.802545970904237,34,0.5592320502140014,1242.4869654098375,2221.7735284205814
evaluation_early_third,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-06-29 13:40:00-04:00,0.0,0.15,0.0014271820884483866,1.339162037730186,-0.0025576521172930855,0.42857142857142855,20.388315549263748,7,2.004580435170327,284.785686817029,142.06747797218276
evaluation_middle_third,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-29 13:45:00-04:00,2026-07-09 11:30:00-04:00,0.0,0.15,-0.009684384887706843,-4.33913212531578,-0.011221029124036996,0.3125,-60.527405548168225,16,0.33255324771246114,482.52143492593945,1450.959923696631
evaluation_late_third,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-07-09 11:35:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.0015345336148325783,-1.2211897335272426,-0.00409542712721811,0.45454545454545453,-13.950305589388863,11,0.7571563221952385,478.44845646995327,631.9018179532306
evaluation_full,NVDA,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.50_s-0.35,baseline,strict,"{""buy_threshold"":0.5,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,0.003502877246812197,4.644185702812409,-0.0012525377991390307,0.4,70.05754493624691,5,4.150756168133625,461.46348884350243,111.17576416226785
